,K-Means,,,,,,,,,,Fuzzy C-Means,,,,,,,,
,2,3,4,5,6,7,8,9,10,,2,3,4,5,6,7,8,9,10
Project 1,0.78548,0.49948,0.59124,0.65958,0.7041,0.65617,0.74486,0.78793,0.90419,,0.77913,0.50252,0.59124,0.85535,0.91413,0.7435,0.92825,0.73186,0.80962
Project 2,0.78415,0.80508,0.5565,0.62825,0.49818,0.66499,0.71526,0.78552,0.58563,,0.78327,0.80508,0.45579,0.60225,1.1641,0.98019,0.97839,1.0204,0.95475
Project 3,0.81796,0.7011,0.81221,0.95836,0.82549,0.84486,0.82888,0.85129,0.92391,,0.79956,0.93679,0.7964,0.76664,0.82059,1.07616,0.76272,0.96156,1.09771
Project 4,0.78575,0.89482,0.82212,0.7378,0.78988,0.84638,0.83073,0.74975,0.78584,,0.78137,0.88471,0.93082,0.9471,1.02321,1.26557,1.00322,0.88321,0.92876
Project 5,0.74047,0.78112,0.82275,0.82104,0.89542,0.82101,0.81319,0.93738,0.87298,,0.74265,0.848,0.81599,0.90127,0.96853,1.0048,1.03861,1.01884,1.05818
Project 6,0.67805,0.69221,0.67928,0.71272,0.59944,0.63645,0.71097,0.67802,0.79314,,0.67805,0.75514,0.80157,0.76697,0.80214,0.81995,1.00667,1.037,0.97863
Project 7,0.23305,0.43845,0.58481,0.44668,0.44292,0.45341,0.48666,0.81125,0.61638,,0.23305,0.42976,0.39201,0.46341,0.4869,0.57229,0.83373,0.81694,0.47156
Project 8,0.45984,0.68915,0.79392,0.88732,0.84198,0.8336,0.65719,0.80809,0.78022,,0.58337,0.72423,0.78621,0.88753,0.93536,0.95455,0.87101,0.94534,0.89736
Project 9,0.60745,0.76198,0.57929,0.74767,0.74178,0.76692,0.70174,0.73682,0.74761,,0.62151,0.74851,0.87277,0.94665,0.86295,1.0545,0.80295,0.87214,0.99868
Project 10,0.22414,0.40058,0.60498,0.76147,0.6586,0.69902,0.69232,0.81637,0.77468,,0.80418,0.6802,0.84016,0.7545,0.71712,0.8039,0.97976,0.8813,0.91458
Project 11,0.35774,0.54812,0.64658,0.67849,0.77668,0.75502,0.7945,0.79627,0.79064,,0.79974,0.67722,0.599,0.75637,0.75071,0.76238,0.80498,0.83768,0.8896
Project 12,0.56233,0.75338,0.71766,0.66483,0.88899,0.90968,0.7543,0.90769,0.73453,,0.56233,0.71437,0.7455,0.81727,0.74555,0.82565,0.70481,0.63137,0.77867
Project 13,0.04645,0.45858,0.55577,0.58096,0.50302,0.57741,0.56974,0.58384,0.6374,,0.04645,0.45858,0.46443,0.45892,0.35054,0.41649,0.52184,0.47645,0.38423
Project 14,0.62298,0.63956,0.56109,0.62594,0.66956,0.75586,0.84794,0.91163,0.84412,,0.38079,0.5784,0.47589,0.56778,0.53458,0.60574,0.55981,0.80242,0.78105
